pred_01.png; Acc 0.965332161474118; Dice 0.8122507262789896; clDice 0.8499702405639304; 0-dim Betti 1.1666666666666667
pred_02.png; Acc 0.9671778397381501; Dice 0.8430707703008172; clDice 0.8449493516202343; 0-dim Betti 1.1944444444444444
pred_03.png; Acc 0.9594102315432174; Dice 0.7802589049861359; clDice 0.765799668637718; 0-dim Betti 1.4722222222222223
pred_04.png; Acc 0.9686295308522245; Dice 0.8256908542848963; clDice 0.7910325663005806; 0-dim Betti 1.0277777777777777
pred_05.png; Acc 0.9653291308037338; Dice 0.801980198019802; clDice 0.7679345667998234; 0-dim Betti 1.1805555555555556
pred_06.png; Acc 0.9625651594132623; Dice 0.7888402625820569; clDice 0.7604476105420769; 0-dim Betti 1.0555555555555556
pred_07.png; Acc 0.9670323675597042; Dice 0.8104283573245966; clDice 0.7903719144931871; 0-dim Betti 1.0138888888888888
pred_08.png; Acc 0.9658170687356044; Dice 0.7959179980820381; clDice 0.7792989093539618; 0-dim Betti 1.4305555555555556
pred_09.png; Acc 0.969126560795248; Dice 0.7924789667746338; clDice 0.7834707983002326; 0-dim Betti 1.0138888888888888
pred_10.png; Acc 0.9679021699599951; Dice 0.8063200629080336; clDice 0.7825937165350504; 0-dim Betti 1.25
pred_11.png; Acc 0.9649351436537762; Dice 0.8069607581420182; clDice 0.773575650306633; 0-dim Betti 1.3333333333333333
pred_12.png; Acc 0.9690689780579465; Dice 0.8210541080758845; clDice 0.8375146416741125; 0-dim Betti 0.6944444444444444
pred_13.png; Acc 0.9647714874530247; Dice 0.81505759562146; clDice 0.7884174185725921; 0-dim Betti 1.2222222222222223
pred_14.png; Acc 0.9681052248757425; Dice 0.8131790101540864; clDice 0.8223680098256787; 0-dim Betti 1.5277777777777777
pred_15.png; Acc 0.9671778397381501; Dice 0.7908378075630577; clDice 0.8290270850053896; 0-dim Betti 1.3333333333333333
pred_16.png; Acc 0.9692780943144623; Dice 0.8294496693978498; clDice 0.8720640120877531; 0-dim Betti 1.375
pred_17.png; Acc 0.9675930415807976; Dice 0.8027740376634634; clDice 0.8312017949896772; 0-dim Betti 1.1666666666666667
pred_18.png; Acc 0.9682446357134198; Dice 0.8118310466202141; clDice 0.8716315045091215; 0-dim Betti 0.8333333333333334
pred_19.png; Acc 0.971487453024609; Dice 0.8390914688376547; clDice 0.8767208917241551; 0-dim Betti 1.25
pred_20.png; Acc 0.9680173354345981; Dice 0.8039241188383717; clDice 0.8628547749064683; 0-dim Betti 1.4722222222222223

Average:
accuracy: 0.9668500727360891
dice: 0.809569836122803
cldice: 0.8140622563374189
0betti: 1.2006944444444445
pred_01.png; Acc 0.966474724208995; Dice 0.8045859242509893; clDice 0.8302381465525671; 0-dim Betti 1.7083333333333333
pred_02.png; Acc 0.9689750272760335; Dice 0.8413974746301031; clDice 0.8339176015775568; 0-dim Betti 1.2222222222222223
pred_03.png; Acc 0.95788580433992; Dice 0.7585152231336021; clDice 0.7429546728678923; 0-dim Betti 1.5833333333333333
pred_04.png; Acc 0.9683961692326343; Dice 0.8145539906103286; clDice 0.7761109377905462; 0-dim Betti 1.2083333333333333
pred_05.png; Acc 0.9639713904715723; Dice 0.7818155122416768; clDice 0.7530913268062887; 0-dim Betti 1.2638888888888888
pred_06.png; Acc 0.9597648199781792; Dice 0.7583633650030942; clDice 0.7337847775246022; 0-dim Betti 1.4444444444444444
pred_07.png; Acc 0.9671232876712329; Dice 0.7996675900277008; clDice 0.7701465310883839; 0-dim Betti 1.1527777777777777
pred_08.png; Acc 0.9665747363316766; Dice 0.7838341075243527; clDice 0.7557781619937906; 0-dim Betti 1.375
pred_09.png; Acc 0.9657897927021457; Dice 0.749911378943637; clDice 0.7394622793053411; 0-dim Betti 1.3472222222222223
pred_10.png; Acc 0.968802279064129; Dice 0.8014963939989973; clDice 0.7606467003748769; 0-dim Betti 1.5416666666666667
pred_11.png; Acc 0.9674536307431204; Dice 0.8082629577389349; clDice 0.7629935700128827; 0-dim Betti 1.3472222222222223
pred_12.png; Acc 0.9690083646502606; Dice 0.806743016970934; clDice 0.8171658345337364; 0-dim Betti 1.1388888888888888
pred_13.png; Acc 0.9642077827615468; Dice 0.7969674047586301; clDice 0.7706590566340207; 0-dim Betti 1.5555555555555556
pred_14.png; Acc 0.9708843496181355; Dice 0.8162992141040595; clDice 0.8193693350319612; 0-dim Betti 1.5
pred_15.png; Acc 0.9699842405140017; Dice 0.7993923435284586; clDice 0.8256802433043108; 0-dim Betti 1.75
pred_16.png; Acc 0.9691447448175536; Dice 0.8140898051604185; clDice 0.8453285119274344; 0-dim Betti 1.8333333333333333
pred_17.png; Acc 0.9662625772820947; Dice 0.7760160965794769; clDice 0.785300510728111; 0-dim Betti 1.7083333333333333
pred_18.png; Acc 0.9712480300642502; Dice 0.8159900692437496; clDice 0.8483102246544395; 0-dim Betti 1.0972222222222223
pred_19.png; Acc 0.9750636440780701; Dice 0.851934497030772; clDice 0.8737167919360189; 0-dim Betti 1.3055555555555556
pred_20.png; Acc 0.9723148260395199; Dice 0.815822899655235; clDice 0.8545363984060494; 0-dim Betti 1.7361111111111112

Average:
accuracy: 0.9674665110922535
dice: 0.7997829632567576
cldice: 0.7949595806525406
0betti: 1.440972222222222
pred_01.png; Acc 0.966474724208995; Dice 0.8045859242509893; clDice 0.8302381465525671; 0-dim Betti 1.7083333333333333
pred_02.png; Acc 0.9689750272760335; Dice 0.8413974746301031; clDice 0.8339176015775568; 0-dim Betti 1.2222222222222223
